Timestamp,SourceIP,DestinationIP,Protocol,PacketLength,InfoPacket,Signature
2023-11-24 09:53:39.682001,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:4444 -> 172.16.1.135:43942 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:39.682003,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:42053 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:53:39.692620,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:43942 -> 172.16.1.134:4444 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:53:39.692621,172.16.1.134,172.16.1.135,tcp,60,172.16.1.134:42053 -> 172.16.1.135:445 tcp Length=60,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:39.692622,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:4444 -> 172.16.1.135:43942 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:42.804540,172.16.1.134,172.16.1.135,tcp,74,172.16.1.134:33957 -> 172.16.1.135:445 tcp Length=74,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:42.804771,172.16.1.135,172.16.1.134,tcp,74,172.16.1.135:445 -> 172.16.1.134:33957 tcp Length=74,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:53:42.805029,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33957 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:42.817584,172.16.1.134,172.16.1.135,smb,139,172.16.1.134:33957 -> 172.16.1.135:445 smb Length=139,172.16.1.134_172.16.1.135/smb/Detect
2023-11-24 09:53:42.817585,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:33957 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:53:42.819414,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:33957 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:53:42.819592,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33957 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:42.835382,172.16.1.134,172.16.1.135,smb2,278,172.16.1.134:33957 -> 172.16.1.135:445 smb2 Length=278,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:53:42.835712,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:33957 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:53:42.843889,172.16.1.134,172.16.1.135,ntlmssp,236,172.16.1.134:33957 -> 172.16.1.135:445 ntlmssp Length=236,172.16.1.134_172.16.1.135/ntlmssp/Detect
2023-11-24 09:53:42.844601,172.16.1.135,172.16.1.134,ntlmssp,279,172.16.1.135:445 -> 172.16.1.134:33957 ntlmssp Length=279,172.16.1.135_172.16.1.134/ntlmssp/Detect
2023-11-24 09:53:42.856777,172.16.1.134,172.16.1.135,ntlmssp,272,172.16.1.134:33957 -> 172.16.1.135:445 ntlmssp Length=272,172.16.1.134_172.16.1.135/ntlmssp/Detect
2023-11-24 09:53:42.856778,172.16.1.135,172.16.1.134,spnego,151,172.16.1.135:445 -> 172.16.1.134:33957 spnego Length=151,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:53:42.878412,172.16.1.134,172.16.1.135,smb2,180,172.16.1.134:33957 -> 172.16.1.135:445 smb2 Length=180,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:53:42.879043,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:33957 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:53:42.891998,172.16.1.134,172.16.1.135,smb2,180,172.16.1.134:33957 -> 172.16.1.135:445 smb2 Length=180,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:53:42.892364,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:33957 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:53:42.904723,172.16.1.134,172.16.1.135,smb2,206,172.16.1.134:33957 -> 172.16.1.135:445 smb2 Length=206,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:53:42.905277,172.16.1.135,172.16.1.134,smb2,222,172.16.1.135:445 -> 172.16.1.134:33957 smb2 Length=222,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:53:42.916190,172.16.1.134,172.16.1.135,dcerpc,254,172.16.1.134:33957 -> 172.16.1.135:445 dcerpc Length=254,172.16.1.134_172.16.1.135/dcerpc/Detect
2023-11-24 09:53:42.916524,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:33957 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:53:42.925095,172.16.1.134,172.16.1.135,smb2,183,172.16.1.134:33957 -> 172.16.1.135:445 smb2 Length=183,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:53:42.925109,172.16.1.135,172.16.1.134,dcerpc,218,172.16.1.135:445 -> 172.16.1.134:33957 dcerpc Length=218,172.16.1.135_172.16.1.134/dcerpc/Detect
2023-11-24 09:53:42.936281,172.16.1.134,172.16.1.135,dcerpc,286,172.16.1.134:33957 -> 172.16.1.135:445 dcerpc Length=286,172.16.1.134_172.16.1.135/dcerpc/Detect
2023-11-24 09:53:42.936653,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:33957 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:53:42.945420,172.16.1.134,172.16.1.135,smb2,183,172.16.1.134:33957 -> 172.16.1.135:445 smb2 Length=183,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:53:42.945621,172.16.1.135,172.16.1.134,dcerpc,474,172.16.1.135:445 -> 172.16.1.134:33957 dcerpc Length=474,172.16.1.135_172.16.1.134/dcerpc/Detect
2023-11-24 09:53:42.959493,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33957 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:42.959494,172.16.1.134,172.16.1.135,tcp,74,172.16.1.134:38503 -> 172.16.1.135:445 tcp Length=74,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:42.959494,172.16.1.135,172.16.1.134,tcp,74,172.16.1.135:445 -> 172.16.1.134:38503 tcp Length=74,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:53:42.959494,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:38503 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:53:42.959495,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:33957 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:53:42.959495,172.16.1.134,172.16.1.135,smb,154,172.16.1.134:38503 -> 172.16.1.135:445 smb Length=154,172.16.1.134_172.16.1.135/smb/Detect
2023-11-24 09:53:42.959496,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:38503 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:53:42.959496,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33957 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
